page,performanceId,city,category,name,shopName,showTimeRange,date_Range,priceRange,timeOptions,priceOptions,posterUrl
4,95540,上海,休闲展览,JOYPOLIS上海世嘉都市乐园,JOYPOLIS 世嘉都市乐园,2018.10.1 - 2021.12.31,"[u'2021\u5e7407\u670806\u65e5', u'2021\u5e7407\u670807\u65e5', u'2021\u5e7407\u670808\u65e5', u'2021\u5e7407\u670809\u65e5', u'2021\u5e7407\u670810\u65e5', u'2021\u5e7407\u670811\u65e5', u'2021\u5e7407\u670812\u65e5', u'2021\u5e7407\u670813\u65e5', u'2021\u5e7407\u670814\u65e5', u'2021\u5e7407\u670815\u65e5', u'2021\u5e7407\u670816\u65e5', u'2021\u5e7407\u670817\u65e5', u'2021\u5e7407\u670818\u65e5', u'2021\u5e7407\u670819\u65e5', u'2021\u5e7407\u670820\u65e5', u'2021\u5e7407\u670821\u65e5', u'2021\u5e7407\u670822\u65e5', u'2021\u5e7407\u670823\u65e5', u'2021\u5e7407\u670824\u65e5', u'2021\u5e7407\u670825\u65e5', u'2021\u5e7407\u670826\u65e5', u'2021\u5e7407\u670827\u65e5', u'2021\u5e7407\u670828\u65e5', u'2021\u5e7407\u670829\u65e5', u'2021\u5e7407\u670830\u65e5', u'2021\u5e7407\u670831\u65e5', u'2021\u5e7408\u670801\u65e5', u'2021\u5e7408\u670802\u65e5', u'2021\u5e7408\u670803\u65e5', u'2021\u5e7408\u670804\u65e5', u'2021\u5e7408\u670805\u65e5', u'2021\u5e7408\u670806\u65e5', u'2021\u5e7408\u670807\u65e5', u'2021\u5e7408\u670808\u65e5', u'2021\u5e7408\u670809\u65e5', u'2021\u5e7408\u670810\u65e5', u'2021\u5e7408\u670811\u65e5', u'2021\u5e7408\u670812\u65e5', u'2021\u5e7408\u670813\u65e5', u'2021\u5e7408\u670814\u65e5', u'2021\u5e7408\u670815\u65e5', u'2021\u5e7408\u670816\u65e5', u'2021\u5e7408\u670817\u65e5', u'2021\u5e7408\u670818\u65e5', u'2021\u5e7408\u670819\u65e5', u'2021\u5e7408\u670820\u65e5', u'2021\u5e7408\u670821\u65e5', u'2021\u5e7408\u670822\u65e5', u'2021\u5e7408\u670823\u65e5', u'2021\u5e7408\u670824\u65e5', u'2021\u5e7408\u670825\u65e5', u'2021\u5e7408\u670826\u65e5', u'2021\u5e7408\u670827\u65e5', u'2021\u5e7408\u670828\u65e5', u'2021\u5e7408\u670829\u65e5', u'2021\u5e7408\u670830\u65e5', u'2021\u5e7408\u670831\u65e5', u'2021\u5e7409\u670801\u65e5', u'2021\u5e7409\u670802\u65e5', u'2021\u5e7409\u670803\u65e5', u'2021\u5e7409\u670804\u65e5', u'2021\u5e7409\u670805\u65e5', u'2021\u5e7409\u670806\u65e5', u'2021\u5e7409\u670807\u65e5', u'2021\u5e7409\u670808\u65e5', u'2021\u5e7409\u670809\u65e5', u'2021\u5e7409\u670810\u65e5', u'2021\u5e7409\u670811\u65e5', u'2021\u5e7409\u670812\u65e5', u'2021\u5e7409\u670813\u65e5', u'2021\u5e7409\u670814\u65e5', u'2021\u5e7409\u670815\u65e5', u'2021\u5e7409\u670816\u65e5', u'2021\u5e7409\u670817\u65e5', u'2021\u5e7409\u670818\u65e5', u'2021\u5e7409\u670819\u65e5', u'2021\u5e7409\u670820\u65e5', u'2021\u5e7409\u670821\u65e5', u'2021\u5e7409\u670822\u65e5', u'2021\u5e7409\u670823\u65e5', u'2021\u5e7409\u670824\u65e5', u'2021\u5e7409\u670825\u65e5', u'2021\u5e7409\u670826\u65e5', u'2021\u5e7409\u670827\u65e5', u'2021\u5e7409\u670828\u65e5', u'2021\u5e7409\u670829\u65e5', u'2021\u5e7409\u670830\u65e5', u'2021\u5e7410\u670801\u65e5', u'2021\u5e7410\u670802\u65e5', u'2021\u5e7410\u670803\u65e5', u'2021\u5e7410\u670804\u65e5', u'2021\u5e7410\u670805\u65e5', u'2021\u5e7410\u670806\u65e5', u'2021\u5e7410\u670807\u65e5', u'2021\u5e7410\u670808\u65e5', u'2021\u5e7410\u670809\u65e5', u'2021\u5e7410\u670810\u65e5', u'2021\u5e7410\u670811\u65e5', u'2021\u5e7410\u670812\u65e5', u'2021\u5e7410\u670813\u65e5', u'2021\u5e7410\u670814\u65e5', u'2021\u5e7410\u670815\u65e5', u'2021\u5e7410\u670816\u65e5', u'2021\u5e7410\u670817\u65e5', u'2021\u5e7410\u670818\u65e5', u'2021\u5e7410\u670819\u65e5', u'2021\u5e7410\u670820\u65e5', u'2021\u5e7410\u670821\u65e5', u'2021\u5e7410\u670822\u65e5', u'2021\u5e7410\u670823\u65e5', u'2021\u5e7410\u670824\u65e5', u'2021\u5e7410\u670825\u65e5', u'2021\u5e7410\u670826\u65e5', u'2021\u5e7410\u670827\u65e5', u'2021\u5e7410\u670828\u65e5', u'2021\u5e7410\u670829\u65e5', u'2021\u5e7410\u670830\u65e5', u'2021\u5e7410\u670831\u65e5', u'2021\u5e7411\u670801\u65e5', u'2021\u5e7411\u670802\u65e5', u'2021\u5e7411\u670803\u65e5', u'2021\u5e7411\u670804\u65e5', u'2021\u5e7411\u670805\u65e5', u'2021\u5e7411\u670806\u65e5', u'2021\u5e7411\u670807\u65e5', u'2021\u5e7411\u670808\u65e5', u'2021\u5e7411\u670809\u65e5', u'2021\u5e7411\u670810\u65e5', u'2021\u5e7411\u670811\u65e5', u'2021\u5e7411\u670812\u65e5', u'2021\u5e7411\u670813\u65e5', u'2021\u5e7411\u670814\u65e5', u'2021\u5e7411\u670815\u65e5', u'2021\u5e7411\u670816\u65e5', u'2021\u5e7411\u670817\u65e5', u'2021\u5e7411\u670818\u65e5', u'2021\u5e7411\u670819\u65e5', u'2021\u5e7411\u670820\u65e5', u'2021\u5e7411\u670821\u65e5', u'2021\u5e7411\u670822\u65e5', u'2021\u5e7411\u670823\u65e5', u'2021\u5e7411\u670824\u65e5', u'2021\u5e7411\u670825\u65e5', u'2021\u5e7411\u670826\u65e5', u'2021\u5e7411\u670827\u65e5', u'2021\u5e7411\u670828\u65e5', u'2021\u5e7411\u670829\u65e5', u'2021\u5e7411\u670830\u65e5', u'2021\u5e7412\u670801\u65e5', u'2021\u5e7412\u670802\u65e5', u'2021\u5e7412\u670803\u65e5', u'2021\u5e7412\u670804\u65e5', u'2021\u5e7412\u670805\u65e5', u'2021\u5e7412\u670806\u65e5', u'2021\u5e7412\u670807\u65e5', u'2021\u5e7412\u670808\u65e5', u'2021\u5e7412\u670809\u65e5', u'2021\u5e7412\u670810\u65e5', u'2021\u5e7412\u670811\u65e5', u'2021\u5e7412\u670812\u65e5', u'2021\u5e7412\u670813\u65e5', u'2021\u5e7412\u670814\u65e5', u'2021\u5e7412\u670815\u65e5', u'2021\u5e7412\u670816\u65e5', u'2021\u5e7412\u670817\u65e5', u'2021\u5e7412\u670818\u65e5', u'2021\u5e7412\u670819\u65e5', u'2021\u5e7412\u670820\u65e5', u'2021\u5e7412\u670821\u65e5', u'2021\u5e7412\u670822\u65e5', u'2021\u5e7412\u670823\u65e5', u'2021\u5e7412\u670824\u65e5', u'2021\u5e7412\u670825\u65e5', u'2021\u5e7412\u670826\u65e5', u'2021\u5e7412\u670827\u65e5', u'2021\u5e7412\u670828\u65e5', u'2021\u5e7412\u670829\u65e5', u'2021\u5e7412\u670830\u65e5']",118-360,[u'2018-10-01 00:00'],"[118, 120, 170, 190, 310, 360]",https://p1.meituan.net/moviesh/55c2ac34e7de0bddee8a0424042a9a18189391.jpg
4,180079,上海,休闲展览,【暑期重磅】当喵星人遇上剑齿虎—猫科动物剧情式科普展,长风大悦城,2021.7.10 - 2021.10.10,"[u'2021\u5e7407\u670810\u65e5', u'2021\u5e7407\u670811\u65e5', u'2021\u5e7407\u670812\u65e5', u'2021\u5e7407\u670813\u65e5', u'2021\u5e7407\u670814\u65e5', u'2021\u5e7407\u670815\u65e5', u'2021\u5e7407\u670816\u65e5', u'2021\u5e7407\u670817\u65e5', u'2021\u5e7407\u670818\u65e5', u'2021\u5e7407\u670819\u65e5', u'2021\u5e7407\u670820\u65e5', u'2021\u5e7407\u670821\u65e5', u'2021\u5e7407\u670822\u65e5', u'2021\u5e7407\u670823\u65e5', u'2021\u5e7407\u670824\u65e5', u'2021\u5e7407\u670825\u65e5', u'2021\u5e7407\u670826\u65e5', u'2021\u5e7407\u670827\u65e5', u'2021\u5e7407\u670828\u65e5', u'2021\u5e7407\u670829\u65e5', u'2021\u5e7407\u670830\u65e5', u'2021\u5e7407\u670831\u65e5', u'2021\u5e7408\u670801\u65e5', u'2021\u5e7408\u670802\u65e5', u'2021\u5e7408\u670803\u65e5', u'2021\u5e7408\u670804\u65e5', u'2021\u5e7408\u670805\u65e5', u'2021\u5e7408\u670806\u65e5', u'2021\u5e7408\u670807\u65e5', u'2021\u5e7408\u670808\u65e5', u'2021\u5e7408\u670809\u65e5', u'2021\u5e7408\u670810\u65e5', u'2021\u5e7408\u670811\u65e5', u'2021\u5e7408\u670812\u65e5', u'2021\u5e7408\u670813\u65e5', u'2021\u5e7408\u670814\u65e5', u'2021\u5e7408\u670815\u65e5', u'2021\u5e7408\u670816\u65e5', u'2021\u5e7408\u670817\u65e5', u'2021\u5e7408\u670818\u65e5', u'2021\u5e7408\u670819\u65e5', u'2021\u5e7408\u670820\u65e5', u'2021\u5e7408\u670821\u65e5', u'2021\u5e7408\u670822\u65e5', u'2021\u5e7408\u670823\u65e5', u'2021\u5e7408\u670824\u65e5', u'2021\u5e7408\u670825\u65e5', u'2021\u5e7408\u670826\u65e5', u'2021\u5e7408\u670827\u65e5', u'2021\u5e7408\u670828\u65e5', u'2021\u5e7408\u670829\u65e5', u'2021\u5e7408\u670830\u65e5', u'2021\u5e7408\u670831\u65e5', u'2021\u5e7409\u670801\u65e5', u'2021\u5e7409\u670802\u65e5', u'2021\u5e7409\u670803\u65e5', u'2021\u5e7409\u670804\u65e5', u'2021\u5e7409\u670805\u65e5', u'2021\u5e7409\u670806\u65e5', u'2021\u5e7409\u670807\u65e5', u'2021\u5e7409\u670808\u65e5', u'2021\u5e7409\u670809\u65e5', u'2021\u5e7409\u670810\u65e5', u'2021\u5e7409\u670811\u65e5', u'2021\u5e7409\u670812\u65e5', u'2021\u5e7409\u670813\u65e5', u'2021\u5e7409\u670814\u65e5', u'2021\u5e7409\u670815\u65e5', u'2021\u5e7409\u670816\u65e5', u'2021\u5e7409\u670817\u65e5', u'2021\u5e7409\u670818\u65e5', u'2021\u5e7409\u670819\u65e5', u'2021\u5e7409\u670820\u65e5', u'2021\u5e7409\u670821\u65e5', u'2021\u5e7409\u670822\u65e5', u'2021\u5e7409\u670823\u65e5', u'2021\u5e7409\u670824\u65e5', u'2021\u5e7409\u670825\u65e5', u'2021\u5e7409\u670826\u65e5', u'2021\u5e7409\u670827\u65e5', u'2021\u5e7409\u670828\u65e5', u'2021\u5e7409\u670829\u65e5', u'2021\u5e7409\u670830\u65e5', u'2021\u5e7410\u670801\u65e5', u'2021\u5e7410\u670802\u65e5', u'2021\u5e7410\u670803\u65e5', u'2021\u5e7410\u670804\u65e5', u'2021\u5e7410\u670805\u65e5', u'2021\u5e7410\u670806\u65e5', u'2021\u5e7410\u670807\u65e5', u'2021\u5e7410\u670808\u65e5', u'2021\u5e7410\u670809\u65e5', u'2021\u5e7410\u670810\u65e5']",98-168,[u'2021-07-10 00:00'],"[98, 168]",https://p0.meituan.net/myvideodistribute/04bae14a6a04b8d6ddff26a10f4e65b993832.jpg
